scope,variant,cohort,n_days,albedo,storage_fraction,delivered_water_l_m2,mean_daily_max_surface_c,mean_surface_c,mean_air_excess_k_h,mean_watering_effect_k_h,min_daily_watering_effect_k_h,max_daily_watering_effect_k_h,mean_daily_max_reduction_by_watering_k,mean_daily_mean_reduction_by_watering_k,mean_reflected_shortwave_mj_m2,mean_initial_surface_water_kg_m2,mean_initial_base_water_kg_m2,mean_final_surface_water_kg_m2,mean_final_base_water_kg_m2,mean_extra_evaporation_vs_no_water_kg_m2,mean_interaction_k_h,mean_absorbed_shortwave_j_m2,mean_downward_kg_m2,mean_drained_kg_m2,mean_evaporated_kg_m2,mean_ground_out_j_m2,mean_irrigation_kg_m2,mean_latent_out_j_m2,mean_net_longwave_j_m2,mean_rain_kg_m2,mean_runoff_kg_m2,mean_sensible_out_j_m2,mean_upward_kg_m2,mean_water_enthalpy_net_j_m2
baseline_all,baseline,winter_zero_recorded_amount,1,0.1,0.0,0.0,26.95429725021186,8.894339205489759,87.28742310149374,0.0,0.0,0.0,0.0,0.0,1.294,0.0,0.0,0.0,0.0,0.0,0.0,11646000.0,0.0,0.0,0.0,1784214.2831132084,0.0,0.0,-5485244.088727424,0.0,0.0,3974628.5427415096,0.0,0.0
baseline_all,baseline,winter_zero_recorded_amount,1,0.1,0.5,2.975,26.70084297584075,8.843590439403142,85.74386201220743,1.5435610892863139,1.5435610892863139,1.5435610892863139,0.25345427437110857,0.050748766086616826,1.294,0.0,0.0,0.12657790758786758,0.426005490489476,0.0329459646649886,0.0,11646000.0,2.815476127747159,2.3894706372573666,0.0329459646649886,1793338.2583973897,2.9750000000000143,80717.61342922208,-5457623.930488123,0.0,0.0,3898008.663563784,0.0,2175.0989280821227
baseline_all,baseline,winter_zero_recorded_amount,1,0.1,1.0,5.95,26.475133407019296,8.793579682317196,84.19305174844143,3.09437135305231,3.09437135305231,3.09437135305231,0.47916384319256267,0.10075952317256309,1.294,0.0,0.0,0.40795390499381967,3.081744093209585,0.06574683333249463,0.0,11646000.0,5.476299261673705,2.3945551684637683,0.06574683333249463,1800848.546315881,5.950000000000029,161079.74166461197,-5431076.656669062,0.0,0.0,3824168.633966908,0.0,55941.26276835169
baseline_all,baseline,winter_zero_recorded_amount,1,0.3,0.0,0.0,22.611969331704127,7.675064149754913,60.34943037374303,0.0,0.0,0.0,0.0,0.0,3.882,0.0,0.0,0.0,0.0,0.0,0.0,9058000.000000004,0.0,0.0,0.0,1449472.913789054,0.0,0.0,-4911035.901129498,0.0,0.0,2401467.489853736,0.0,0.0
baseline_all,baseline,winter_zero_recorded_amount,1,0.3,0.5,2.975,22.415473422570503,7.637656665852151,59.137457556303524,1.2119728174395092,1.2119728174395092,1.2119728174395092,0.19649590913362402,0.03740748390276227,3.882,0.0,0.0,0.1276260662204565,0.4327365414354563,0.025166755086403408,0.3315882718468117,9058000.000000004,2.82220717869314,2.3894706372573666,0.025166755086403408,1458410.6768065835,2.9750000000000143,61658.549961688375,-4891132.687800568,0.0,0.0,2343842.049733517,0.0,8039.270707763516
baseline_all,baseline,winter_zero_recorded_amount,1,0.3,1.0,5.95,22.226240965409897,7.600721494764567,57.91771795392764,2.4317124198153905,2.4317124198153905,2.4317124198153905,0.3857283662942308,0.07434265499034609,3.882,0.0,0.0,0.41004704838056066,3.095099488949236,0.05029829420613033,0.6626589332369122,9058000.000000004,5.489654657413331,2.3945551684637683,0.05029829420613033,1466095.2134560582,5.950000000000029,123230.82080501925,-4872058.949029698,0.0,0.0,2288380.987927871,0.0,62781.70902306052
baseline_all,baseline,winter_zero_recorded_amount,1,0.5,0.0,0.0,18.23518619736443,6.4472036808240425,33.49381142658554,0.0,0.0,0.0,0.0,0.0,6.47,0.0,0.0,0.0,0.0,0.0,0.0,6470000.0,0.0,0.0,0.0,1112421.0795016855,0.0,0.0,-4351088.280546734,0.0,0.0,817185.3000647738,0.0,0.0
baseline_all,baseline,winter_zero_recorded_amount,1,0.5,0.5,2.975,18.090067024152916,6.421839173653627,32.5420654315526,0.9517459950329368,0.9517459950329368,0.9517459950329368,0.14511917321151557,0.025364507170415607,6.47,0.0,0.0,0.12850240476865926,0.438369454726467,0.01865750324720946,0.5918150942533771,6470000.0,2.8278400919841435,2.3894706372573666,0.01865750324720946,1120744.9273764684,2.9750000000000143,45710.882955663175,-4337861.99350257,0.0,0.0,776856.6958996205,0.0,13634.008116966434
baseline_all,baseline,winter_zero_recorded_amount,1,0.5,1.0,5.95,17.935274181905744,6.396749476040348,31.6684936608162,1.8253177657693378,1.8253177657693378,1.8253177657693378,0.2999120154586876,0.05045420478369422,6.47,0.0,0.0,0.4118024708881614,3.1063067503095563,0.03733561033817743,1.2690535872829685,6470000.0,5.500861918773679,2.3945551684637683,0.03733561033817743,1128200.1622307093,5.950000000000029,91472.24532853467,-4325261.695371953,0.0,0.0,738173.9267166327,0.0,69063.44288953206
baseline_all,baseline,summer_zero_recorded_amount,37,0.1,0.0,0.0,54.1026186781638,35.69838771480364,181.46573286903165,0.0,0.0,0.0,0.0,0.0,2.2541891891891894,0.34139570553849113,2.0471162917957804,0.159326872596479,1.6713649879648342,0.0,0.0,20287702.7027027,0.13956370570311635,0.5143558072103888,0.04346432956209998,2561528.872762594,0.0,106487.60742714493,-6954850.318748234,0.0,0.0,10412240.912187409,0.0009592023232031122,-73033.86455564179
baseline_all,baseline,summer_zero_recorded_amount,37,0.1,0.5,2.975,53.39910564003792,35.44774109348403,175.49793288620148,5.967799982830164,1.5631438143497292,9.408860294163588,0.7035130381258831,0.2506466213196099,2.2541891891891894,0.34139570553849113,2.0471162917957804,0.29606408163708264,2.384904591960308,0.1980031141900849,0.0,20287702.7027027,2.730112866690388,2.392324566525362,0.24146744375218487,2523809.0295125116,2.9750000000000143,591595.237192853,-6793463.679309624,0.0,0.04875131345885356,10062803.308931282,0.0,-37908.43680679288
baseline_all,baseline,summer_zero_recorded_amount,37,0.1,1.0,5.95,52.77101042247043,35.2210207106605,170.08652224735133,11.37921062168033,1.5694306818365362,18.201346265187368,1.331608255693363,0.4773670041431337,2.2541891891891894,0.34139570553849113,2.0471162917957804,0.5406135116523899,4.753921416900724,0.3775503446493042,0.0,20287702.7027027,5.102836082003353,2.396030956898037,0.4210146742114042,2489536.5353552992,5.950000000000029,1031485.9518179402,-6649140.833033349,0.0,0.2269314376713758,9748864.613826972,0.0,232249.86062639524
baseline_all,baseline,summer_zero_recorded_amount,37,0.3,0.0,0.0,48.60581450753167,33.79507460543727,136.78887145840272,0.0,0.0,0.0,0.0,0.0,6.762567567567568,0.34139570553849113,2.0471162917957804,0.16245605070491104,1.6795273783929023,0.0,0.0,15779324.324324321,0.14745105191649707,0.514676894102086,0.031851674133902594,2035770.9140998556,0.0,78036.60162806135,-5788750.145066471,0.0,0.0,7784538.139472394,0.0003630712168189329,-68730.20250060172
baseline_all,baseline,summer_zero_recorded_amount,37,0.3,0.5,2.975,48.09335997943001,33.60394182116341,132.25225291993462,4.536618538468084,1.1754085233517628,7.217378012274452,0.5124545281016571,0.19113278427385766,6.762567567567568,0.34139570553849113,2.0471162917957804,0.30393585251817423,2.4389167544163377,0.14772814189163216,1.4311814443620812,15779324.324324321,2.784125041435702,2.3923245788146223,0.17957981602553477,2007835.1375859939,2.9750000000000143,439970.54926256015,-5670375.310853184,0.0,0.04875499555909785,7518352.056165602,0.0,-14722.476586880515
baseline_all,baseline,summer_zero_recorded_amount,37,0.3,1.0,5.95,47.622826251702804,33.42933755148429,128.09391230929674,8.69495914910598,1.1761659140780267,14.074602985939691,0.9829882558288556,0.36573705395298006,6.762567567567568,0.34139570553849113,2.0471162917957804,0.5540703874481164,4.8461933527931,0.2834021895786048,2.684251472574352,15779324.324324321,5.195108019406045,2.3960309584083763,0.3152538637125074,1982020.719660046,5.950000000000029,772371.9660956431,-5563418.363851844,0.0,0.2269634349718555,7276944.852349847,0.0,266328.3622349677
baseline_all,baseline,summer_zero_recorded_amount,37,0.5,0.0,0.0,43.04403033218995,31.87065562631092,91.97022008731406,0.0,0.0,0.0,0.0,0.0,11.270945945945945,0.34139570553849113,2.0471162917957804,0.16436514970114163,1.6873194181054678,0.0,0.0,11270945.945945943,0.15520211384230362,0.5149533821473111,0.021874047379887317,1504197.2530000943,0.0,53591.41608072391,-4655414.846177372,0.0,0.0,5127376.747911053,4.5605384839980136e-05,-65082.166363576565
baseline_all,baseline,summer_zero_recorded_amount,37,0.5,0.5,2.975,42.687006503660626,31.732390110571856,88.70137822368046,3.268841863633589,0.8244650246393519,5.2820244608197555,0.3570238285293188,0.13826551573906434,11.270945945945945,0.34139570553849113,2.0471162917957804,0.3107228858375132,2.485077361302252,0.10475444434879255,2.6989581191965772,11270945.945945943,2.8302856605469104,2.39232459103992,0.12662849172867988,1483545.4415935988,2.9750000000000143,310239.8047352657,-4573050.549774475,0.0,0.04875866742540488,4934987.914589848,0.0,4789.145311054566
baseline_all,baseline,summer_zero_recorded_amount,37,0.5,1.0,5.95,42.355045617813246,31.604791674747656,85.6770198170843,6.293200270229757,0.8234956756296299,10.345766226836759,0.6889847143767068,0.2658639515632631,11.270945945945945,0.34139570553849113,2.0471162917957804,0.5657452236376379,4.925571558280393,0.20229503300235258,5.086010351450571,11270945.945945943,5.274486226399318,2.3960309599143885,0.2241690803822399,1464237.1196511912,5.950000000000029,549214.2469364877,-4497868.872225129,0.0,0.22699517511932515,4758832.8227424035,0.0,294300.02921720495
baseline_all,baseline,summer_reported_rain,18,0.1,0.0,0.0,42.880426289908044,29.95592433688611,103.41542869187911,0.0,0.0,0.0,0.0,0.0,1.2608333333333333,2.4311219080693136,9.063300769974658,3.581002349353842,13.409748110459338,0.0,0.0,11347500.0,6.033157855275367,1.6864469410499068,0.11551802768581071,1208442.361506482,0.0,283019.16783023626,-3790538.776794771,31.905555555555534,24.607262805049487,5946792.121227265,0.0002635737395759566,469427.6982527427
baseline_all,baseline,summer_reported_rain,18,0.1,0.5,2.975,42.51408491212177,29.844859828967508,100.75575219800412,2.659676493875001,0.002802312279925445,7.846460406396886,0.36634137778627873,0.11106450791860173,1.2608333333333333,2.4311219080693136,9.063300769974658,3.6512534762069047,14.260980062851441,0.0834698556119825,0.0,11347500.0,7.593451887456254,2.3957725945781183,0.1989878832977932,1191721.2591287899,2.9750000000000143,487520.31407959334,-3721525.596622573,31.905555555555534,25.86798421666404,5794335.670152171,0.0,542642.4272606327
baseline_all,baseline,summer_reported_rain,18,0.1,1.0,5.95,42.2057655462513,29.752960169633564,98.55307403481027,4.862354657068849,0.005397052581308515,15.302245909330765,0.6746607436567421,0.2029641672525489,1.2608333333333333,2.4311219080693136,9.063300769974658,3.734748846660586,15.511021022171722,0.15108727669202568,0.0,11347500.0,8.84553148494594,2.397811232747747,0.26660530437783636,1177804.9616952788,5.950000000000029,653182.9957256992,-3664962.435738326,31.905555555555534,27.43979182764066,5672428.576756619,0.0,675514.0973732794
baseline_all,baseline,summer_reported_rain,18,0.3,0.0,0.0,39.30561124011044,28.910653217816098,78.696882034566,0.0,0.0,0.0,0.0,0.0,3.7824999999999998,2.4311219080693136,9.063300769974658,3.5836643414860276,13.428889981717191,0.0,0.0,8825833.333333336,6.052267941976057,1.6866787302323334,0.08878707343891823,920562.5939806952,0.0,217528.32992534965,-3181866.0259126103,31.905555555555534,24.61195810672393,4499889.285800503,0.0,487099.15691832895
baseline_all,baseline,summer_reported_rain,18,0.3,0.5,2.975,39.032774601881385,28.82439978323083,76.63905733629514,2.0578246982708532,0.002271236791408171,5.973829217282201,0.2728366382290523,0.08625343458526598,3.7824999999999998,2.4311219080693136,9.063300769974658,3.6551368041202457,14.297790315482299,0.06339401170942444,0.6018517956041478,8825833.333333336,7.630262146062825,2.395772600553872,0.15218108514834264,907445.6266395306,2.9750000000000143,372843.65861343953,-3130137.6692049596,31.905555555555534,25.874097428293574,4381602.878112118,0.0,567536.8974578641
baseline_all,baseline,summer_reported_rain,18,0.3,1.0,5.95,38.80704824814173,28.75232631170873,74.91615685932858,3.780725175237419,0.00437180075994803,11.718926659279475,0.49856299196870363,0.15832690610736322,3.7824999999999998,2.4311219080693136,9.063300769974658,3.7397470460469666,15.560228954596605,0.11537121742202354,1.0816294818314292,8825833.333333336,8.89473941805292,2.397811233429844,0.20415829086094175,896352.4454140196,5.950000000000029,500187.81260930724,-3087319.0329375505,31.905555555555534,27.448032708664197,4286090.095475597,0.0,704473.0868286269
baseline_all,baseline,summer_reported_rain,18,0.5,0.0,0.0,35.70516558018822,27.8546341811515,53.85937684282443,0.0,0.0,0.0,0.0,0.0,6.304166666666666,2.4311219080693136,9.063300769974658,3.5857104360303182,13.44634390646586,0.0,0.0,6304166.666666668,6.069920905062771,1.6868777685703735,0.06462901595983554,629691.1427215557,0.0,158341.08910159708,-2585756.447315943,31.905555555555534,24.61641710657202,3037711.967436754,0.0,503921.16459943424
baseline_all,baseline,summer_reported_rain,18,0.5,0.5,2.975,35.51452498548098,27.79083159600891,52.34813941647463,1.5112374263497992,0.0017396063694974373,4.178993857263578,0.19064059470724024,0.06380258514259157,6.304166666666666,2.4311219080693136,9.063300769974658,3.658577511627794,14.330231132348777,0.04594745370162995,1.1484390675252025,6304166.666666668,7.662702968466773,2.3957726060913362,0.11057646966146549,619280.3086442457,2.9750000000000143,270912.3506705904,-2548808.603113957,31.905555555555534,25.87982051386896,2950216.160389434,0.0,590543.2257472272
baseline_all,baseline,summer_reported_rain,18,0.5,1.0,5.95,35.34916671555379,27.7369032175392,51.07526178538315,2.784115057441284,0.003345476241769063,8.240088857643912,0.35599886463442665,0.11773096361230076,6.304166666666666,2.4311219080693136,9.063300769974658,3.7441680428144886,15.603358221828923,0.08417594084340302,2.078239599627564,6304166.666666668,8.937868685965718,2.3978112341103306,0.14880495680323857,610365.7332433147,5.950000000000029,364572.1441679345,-2517878.5065821167,31.905555555555534,27.455835778041582,2878730.8899283777,0.0,730778.5683712107
sensitivity_common,baseline,summer_zero_recorded_amount,33,0.1,0.0,0.0,54.42746529113331,36.03984781319906,184.23936685697998,0.0,0.0,0.0,0.0,0.0,2.283969696969697,0.38277116080265877,2.2952515971635457,0.17863913307490095,1.8739546834347558,0.0,0.0,20555727.272727273,0.15647499683176466,0.5766964412885565,0.048732500167464554,2601285.9649262666,0.0,119394.62541028815,-7158099.332039434,0.0,0.0,10421935.872672208,0.0010754692714701562,-81885.77920749245
sensitivity_common,baseline,summer_zero_recorded_amount,33,0.1,0.5,2.975,53.71226482595137,35.78152069238986,178.09216546418884,6.147201392791168,1.5631438143497292,9.408860294163588,0.7152004651819357,0.25832712080919795,2.283969696969697,0.38277116080265877,2.2952515971635457,0.31867631340483765,2.636200585030236,0.20208248840258067,0.0,20555727.272727273,2.733619295252716,2.3926703073855013,0.2508149885700452,2562041.51780579,2.9750000000000143,614496.7219966109,-6991522.7352371365,0.0,0.05466056357507823,10067595.647605771,0.0,-41880.70643025024
sensitivity_common,baseline,summer_zero_recorded_amount,33,0.1,1.0,5.95,53.079425281530206,35.548931201070204,172.54345648472176,11.69591037225823,1.5694306818365362,18.201346265187368,1.3480400096031073,0.4909166121288508,2.283969696969697,0.38277116080265877,2.2952515971635457,0.5607825072297544,4.983518417992943,0.3843413146886361,0.0,20555727.272727273,5.084476560115596,2.3962097392858226,0.43307381485610064,2526551.785620183,5.950000000000029,1061030.8463974467,-6843227.172464563,0.0,0.2544382786012395,9751021.6794161,0.0,226707.71554075272
sensitivity_common,baseline,summer_zero_recorded_amount,33,0.3,0.0,0.0,48.89893228134556,34.09836712914394,138.71646082192154,0.0,0.0,0.0,0.0,0.0,6.851909090909091,0.38277116080265877,2.2952515971635457,0.18214760149133946,1.8831064545188994,0.0,0.0,15987787.878787875,0.1653183284750935,0.5770563912700517,0.035712310685387126,2065196.0697030823,0.0,87495.16117919846,-5965959.228589079,0.0,0.0,7778172.640172487,0.0004070798491606217,-77060.47573155444
sensitivity_common,baseline,summer_zero_recorded_amount,33,0.3,0.5,2.975,48.378058897463774,33.9012077251678,134.03998584330674,4.676474978614824,1.1754085233517628,7.217378012274452,0.5208733838817867,0.19715940397614234,6.851909090909091,0.38277116080265877,2.2952515971635457,0.3268504221368923,2.692289057487379,0.15083595658669288,1.470726414176345,15987787.878787875,2.7897077794032015,2.3926703190788174,0.18654826727208002,2036026.5513200932,2.9750000000000143,457043.25481659605,-5843693.698578233,0.0,0.054664691990503646,7508107.281111123,0.0,-17873.506524559507
sensitivity_common,baseline,summer_zero_recorded_amount,33,0.3,1.0,5.95,47.90329828360511,33.721889672845585,129.7724766150759,8.943984206845643,1.1761659140780267,14.074602985939691,0.99563399774045,0.3764774562983511,6.851909090909091,0.38277116080265877,2.2952515971635457,0.5746025840915611,5.078363786412765,0.28866018169406327,2.7519261654125864,15987787.878787875,5.179321929969298,2.396209740719729,0.3243724923794504,2009181.6128858188,5.950000000000029,794712.6063296533,-5733693.997088377,0.0,0.2544741543623834,7264477.546811666,0.0,261831.43037229116
sensitivity_common,baseline,summer_zero_recorded_amount,33,0.5,0.0,0.0,43.30494303070712,32.13493130650669,93.0283307517602,0.0,0.0,0.0,0.0,0.0,11.419848484848485,0.38277116080265877,2.2952515971635457,0.18428810298198184,1.8918429838919855,0.0,0.0,11419848.48484848,0.17400886459592632,0.5773663445566899,0.024525326535027387,1523052.759345712,0.0,60087.05001081708,-4807303.170109884,0.0,0.0,5104017.4326794045,5.1133310275129245e-05,-72970.26601940059
sensitivity_common,baseline,summer_zero_recorded_amount,33,0.5,0.5,2.975,42.941498649379426,31.992121822686034,89.6536724971877,3.3746582545724957,0.8244650246393519,5.2820244608197555,0.3634443813277007,0.14280948382064637,11.419848484848485,0.38277116080265877,2.2952515971635457,0.33389674715008105,2.7402048652973745,0.10705667934377708,2.772543138218675,11419848.48484848,2.837623598842277,2.3926703307079022,0.13158200587880445,1501389.1917380476,2.9750000000000143,322375.9144030709,-4722138.172951375,0.0,0.05466880893151456,4908626.032100125,0.0,2301.472381876173
